Orgunit name,MOH 731   Discordant HV01-28,MOH 731   Linked_Total HV01-35,MOH 731   Negative_Total HV01-27,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,MOH 731  Tested_Couples HV01-15,MOH 731  Tested_New HV01-13,MOH 731  Total       HV01-50,Month,Total_tested,Infection_rate
Kwale County,5.0,110.0,0.0,0.0,312.0,0.0,105.0,5,0.0,0.0
Laikipia County,9.0,0.0,0.0,0.0,0.0,0.0,58.0,5,0.0,0.0
Lamu County,0.0,0.0,0.0,12.0,0.0,0.0,0.0,5,12.0,1.0
Machakos County,13.0,0.0,7738.0,227.0,258.0,3068.0,99.0,5,7965.0,0.02849968612680477
Mandera County,0.0,2.0,0.0,4.0,0.0,470.0,3.0,5,4.0,1.0
Marsabit County,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5,9.0,1.0
Meru County,0.0,342.0,4304.0,0.0,307.0,2688.0,163.0,5,4304.0,0.0
Migori County,30.0,633.0,22681.0,602.0,0.0,8429.0,186.0,5,23283.0,0.025855774599493193
Mombasa County,24.0,0.0,13241.0,356.0,0.0,0.0,0.0,5,13597.0,0.026182246083694932
Muranga County,12.0,111.0,0.0,97.0,361.0,0.0,101.0,5,97.0,1.0
Nairobi County,0.0,0.0,40743.0,0.0,2179.0,14940.0,0.0,5,40743.0,0.0
Nakuru County,12.0,0.0,0.0,0.0,0.0,0.0,636.0,5,0.0,0.0
Narok County,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Nyamira County,0.0,0.0,0.0,175.0,196.0,0.0,0.0,5,175.0,1.0
Nyandarua County,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Nyeri County,0.0,93.0,0.0,94.0,242.0,858.0,58.0,5,94.0,1.0
Samburu County,8.0,0.0,0.0,43.0,33.0,0.0,22.0,5,43.0,1.0
Siaya County,0.0,0.0,11854.0,532.0,0.0,2023.0,421.0,5,12386.0,0.04295171968351365
Taita Taveta County,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0
Tana River County,0.0,0.0,1073.0,0.0,0.0,0.0,32.0,5,1073.0,0.0
Tharaka Nithi County,2.0,0.0,3199.0,0.0,0.0,1223.0,0.0,5,3199.0,0.0
Trans Nzoia County,7.0,0.0,3300.0,0.0,100.0,0.0,0.0,5,3300.0,0.0
Turkana County,10.0,185.0,10406.0,114.0,0.0,4488.0,565.0,5,10520.0,0.010836501901140685
Uasin Gishu County,6.0,0.0,8141.0,276.0,0.0,2478.0,0.0,5,8417.0,0.032790780563146014
Vihiga County,7.0,0.0,3945.0,125.0,206.0,1829.0,0.0,5,4070.0,0.030712530712530713
Wajir County,51.0,1.0,807.0,0.0,10.0,568.0,11.0,5,807.0,0.0
West Pokot County,2.0,56.0,0.0,0.0,0.0,0.0,128.0,5,0.0,0.0
Baringo County,1.0,59.0,0.0,22.0,0.0,0.0,0.0,6,22.0,1.0
Bomet County,3.0,0.0,650.0,34.0,0.0,0.0,91.0,6,684.0,0.049707602339181284
Bungoma County,24.0,326.0,7435.0,0.0,0.0,3811.0,145.0,6,7435.0,0.0
Busia County,5.0,0.0,0.0,129.0,40.0,570.0,264.0,6,129.0,1.0
Elgeyo Marakwet County,0.0,0.0,924.0,0.0,0.0,0.0,42.0,6,924.0,0.0
Embu County,3.0,0.0,0.0,47.0,103.0,0.0,69.0,6,47.0,1.0
Garissa County,1.0,0.0,1364.0,0.0,0.0,1060.0,0.0,6,1364.0,0.0
Homa Bay County,50.0,0.0,9061.0,0.0,388.0,0.0,0.0,6,9061.0,0.0
Isiolo County,2.0,0.0,0.0,15.0,21.0,0.0,0.0,6,15.0,1.0
Kajiado County,10.0,181.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0
Kakamega County,87.0,0.0,0.0,0.0,370.0,0.0,111.0,6,0.0,0.0
Kericho County,1.0,104.0,1282.0,0.0,66.0,814.0,77.0,6,1282.0,0.0
Kiambu County,37.0,465.0,12153.0,349.0,1173.0,5036.0,0.0,6,12502.0,0.027915533514637658
Kilifi County,0.0,281.0,0.0,250.0,510.0,4778.0,0.0,6,250.0,1.0
Kirinyaga County,3.0,102.0,4403.0,62.0,187.0,2148.0,0.0,6,4465.0,0.013885778275475923
Kisii County,0.0,0.0,5417.0,0.0,0.0,2141.0,31.0,6,5417.0,0.0
Kisumu County,38.0,853.0,17986.0,0.0,754.0,4049.0,265.0,6,17986.0,0.0
Kitui County,15.0,163.0,0.0,156.0,184.0,0.0,0.0,6,156.0,1.0
Kwale County,4.0,113.0,0.0,0.0,752.0,0.0,210.0,6,0.0,0.0
Laikipia County,4.0,0.0,0.0,0.0,0.0,0.0,31.0,6,0.0,0.0
Lamu County,0.0,0.0,0.0,14.0,0.0,0.0,11.0,6,14.0,1.0
Machakos County,14.0,0.0,5383.0,182.0,204.0,2115.0,184.0,6,5565.0,0.03270440251572327
Mandera County,0.0,6.0,0.0,4.0,0.0,481.0,2.0,6,4.0,1.0
Marsabit County,0.0,0.0,0.0,9.0,0.0,0.0,2.0,6,9.0,1.0
